,A.  經常帳,      經常帳-商品：收入（出口）,      經常帳-商品：支出（進口）,          經常帳-商品貿易淨額,      經常帳-服務：收入（出口）,      經常帳-服務：支出（進口）,         經常帳-商品與服務收支淨額,      經常帳-初次所得：收入,      經常帳-初次所得：支出,         經常帳-商品、服務與初次所得收支淨額,      經常帳-二次所得：收入,      經常帳-二次所得：支出,B.  資本帳 1,      資本帳-資本帳：收入,      資本帳-資本帳：支出,         經常帳與資本帳合計,C.  金融帳 1,      金融帳-直接投資：資產,          金融帳-直接投資：資產-股權和投資基金,          金融帳-直接投資：資產-債務工具,      金融帳-直接投資：負債,          金融帳-直接投資：負債-股權和投資基金,          金融帳-直接投資：負債-債務工具,      金融帳-證券投資：資產,         金融帳-證券投資：資產-股權和投資基金,          金融帳-證券投資：資產-債務證券,      金融帳-證券投資：負債,          金融帳-證券投資：負債-股權和投資基金,          金融帳-證券投資：負債-債務證券,      金融帳-衍生性金融商品,          金融帳-衍生金融商品-衍生金融商品：資產,          金融帳-衍生金融商品-衍生金融商品：負債,      金融帳-其他投資：資產,           金融帳-其他投資：資產-其他股本,          金融帳-其他投資：資產-債務工具,      金融帳-其他投資：負債,          金融帳-其他投資：負債-其他股本,          金融帳-其他投資：負債-債務工具,          經常帳 + 資本帳 - 金融帳,D.  誤差與遺漏淨額,E.  準備與相關項目,      準備與相關項目-準備資產2,      準備與相關項目-基金信用的使用及自基金的借款,      準備與相關項目-特殊融資
2014Q3,13871,100356,85338,15018,10605,13903,11720,8752,5753,14719,1594,2442,4,8,4,13875,11242,2946,2953,-7,826,833,-7,19201,4162,15039,-3138,-2606,-532,-241,-1273,-1032,-5181,4,-5185,7795,－,7795,2633,1548,4181,4181,－,－
2014Q4,18232,96967,77582,19385,11011,13740,16656,6822,4515,18963,1672,2403,-20,2,22,18212,17358,2905,2884,21,484,531,-47,15884,5211,10673,1834,1964,-130,262,-1803,-2065,-9011,－,-9011,-9636,－,-9636,854,965,1819,1819,－,－
2015Q1,21170,83039,64052,18987,10074,12712,16349,7467,1919,21897,1714,2441,-1,4,5,21169,19969,2905,2881,24,1067,1034,33,14195,5713,8482,4720,5358,-638,1334,-1898,-3232,2307,4,2303,-5015,－,-5015,1200,2611,3811,3811,－,－
2015Q2,15880,85464,68201,17263,10270,13018,14515,6410,3859,17066,1619,2805,1,6,5,15881,14569,4517,3952,565,288,367,-79,13439,-1039,14478,3193,2652,541,174,-2583,-2757,10853,－,10853,10933,－,10933,1312,2862,4174,4174,－,－
2015Q3,18464,84786,66292,18494,10155,13161,15488,8158,4382,19264,1607,2407,-2,3,5,18462,11241,4128,3688,440,784,809,-25,14227,-552,14779,-8357,-6425,-1932,1186,-2973,-4159,-19223,4,-19227,-3350,－,-3350,7221,-1536,5685,5685,－,－
2015Q4,19369,83591,65240,18351,10487,12778,16060,6851,2872,20039,1663,2333,-3,2,5,19366,20186,3159,3128,31,252,268,-16,14479,2800,11679,-414,73,-487,-1510,-3773,-2263,-10585,－,-10585,-14481,－,-14481,-820,2161,1341,1341,－,－
2016Q1,19682,71291,54086,17205,10339,12546,14998,7064,1826,20236,1725,2279,-4,4,8,19678,12033,2839,2635,204,723,757,-34,21126,1894,19232,4009,5423,-1414,-1279,-3804,-2525,-2767,2,-2769,3154,－,3154,7645,-3800,3845,3845,－,－
2016Q2,16972,76178,59045,17133,10014,12524,14623,7133,3901,17855,1727,2610,-5,6,11,16967,12831,3354,3221,133,507,517,-10,17181,-846,18027,1885,2324,-439,-690,-2364,-1674,757,－,757,5379,－,5379,4136,-983,3153,3153,－,－
2016Q3,16564,77578,60520,17058,10088,13567,13579,8006,4100,17485,1632,2553,1,6,5,16565,13776,4401,3502,899,212,108,104,24673,5814,18859,2869,2731,138,-117,-2411,-2294,-1336,5,-1341,10764,－,10764,2789,160,2949,2949,－,－
2016Q4,19563,84918,65675,19243,10919,13062,17100,7266,3997,20369,1831,2637,-1,1,2,19562,17174,7352,7555,-203,7819,5960,1859,18483,-417,18900,-6120,-5153,-967,-158,-2587,-2429,-3981,2,-3983,2823,－,2823,2388,-1672,716,716,－,－
2017Q1,18176,78645,61958,16687,10548,12534,14701,7467,2991,19177,1733,2734,-3,3,6,18173,14096,2658,2622,36,933,633,300,34160,7476,26684,8044,7106,938,-1396,-3236,-1840,-244,1,-245,12105,－,12105,4077,-1644,2433,2433,－,－
2017Q2,17337,84551,67045,17506,10784,13046,15244,7833,4668,18409,1643,2715,-2,3,5,17335,14167,3676,3532,144,701,2494,-1793,9288,-317,9605,4264,5063,-799,-932,-2864,-1932,-2352,－,-2352,-9452,－,-9452,3168,-1084,2084,2084,－,－
2017Q3,21708,90959,67213,23746,11381,14276,20851,8475,6347,22979,1726,2997,-1,7,8,21707,17514,2984,3023,-39,1121,1138,-17,22735,6940,15795,-10307,-9709,-598,-1193,-2504,-1311,1788,5,1783,17986,－,17986,4193,-261,3932,3932,－,－
2017Q4,25639,95680,72762,22918,12461,13964,21415,10455,5466,26404,2115,2880,-6,1,7,25633,19859,2234,1559,675,534,516,18,15666,2220,13446,1884,1751,133,-1462,-2901,-1439,11523,－,11523,5684,－,5684,5774,-1756,4018,4018,－,－
2018Q1,19354,83141,66605,16536,12230,13620,15146,9549,4421,20274,1976,2896,-1,2,3,19353,15675,3796,3760,36,1996,2022,-26,28744,7409,21335,1271,1714,-443,-2705,-4439,-1734,764,－,764,11657,－,11657,3678,1082,4760,4760,－,－
2018Q2,17820,91623,72209,19414,12123,14383,17154,9102,7727,18529,1959,2668,-3,3,6,17817,12640,2370,2327,43,3156,3125,31,15392,-1685,17077,-6487,-5877,-610,-1929,-3944,-2015,2622,－,2622,9146,－,9146,5177,-3021,2156,2156,－,－
